,date,link,company,field,place,round,amount,investor
0,2015.7.6,https://www.itjuzi.com/investevents/9536,找油网,电子商务,上海,天使轮,500万人民币,投资方未透露
1,2015.7.6,https://www.itjuzi.com/investevents/9539,贝米钱包,金融,上海,Pre-A轮,数百万美元,源码资本
2,2015.7.6,https://www.itjuzi.com/investevents/9541,发发精英,企业服务,江苏,天使轮,500万人民币,"梅花天使创投,九合创投"
3,2015.7.6,https://www.itjuzi.com/investevents/9542,典典养车-养车点点,汽车交通,浙江,C轮,6000万美元,投资方未透露
4,2015.7.6,https://www.itjuzi.com/investevents/9543,丫米厨房,本地生活,上海,天使轮,数千万人民币,"IDG资本,戈壁投资"
5,2015.7.6,https://www.itjuzi.com/investevents/9637,居家通,本地生活,四川,A轮,数千万人民币,虎童基金
6,2015.7.6,https://www.itjuzi.com/investevents/10248,奇矩互动Ismole,游戏,北京,C轮,亿元及以上人民币,"深创投,经纬中国,顺为基金"
7,2015.7.6,https://www.itjuzi.com/investevents/10284,伏牛堂,本地生活,北京,A轮,数千万人民币,"分享投资,青骢资本"
8,2015.7.6,https://www.itjuzi.com/investevents/10568,华信联创BHU Networks,企业服务,北京,A轮,数千万人民币,投资方未透露
9,2015.7.6,https://www.itjuzi.com/investevents/11248,魔调耳机,硬件,广东,A轮,数千万人民币,投资方未透露
10,2015.7.6,https://www.itjuzi.com/investevents/12110,瀑布协作,企业服务,上海,天使轮,未透露,险峰长青(险峰华兴)
11,2015.7.6,https://www.itjuzi.com/investevents/14012,友学友课,教育,江苏,天使轮,数百万人民币,投资方未透露
12,2015.7.6,https://www.itjuzi.com/investevents/14269,网球家,体育运动,北京,天使轮,数百万人民币,娱乐工场
13,2015.7.6,https://www.itjuzi.com/investevents/15362,51特房,房产服务,北京,天使轮,数百万人民币,"薛蛮子,正时资本"
14,2015.7.6,https://www.itjuzi.com/investevents/15995,慧联无限EasyLinkIn,企业服务,湖北,A轮,数千万人民币,汉能投资
15,2015.7.6,https://www.itjuzi.com/investevents/16041,翊凡在线囧8,社交网络,北京,天使轮,数百万人民币,乾明投资
16,2015.7.6,https://www.itjuzi.com/investevents/16433,欧叶网络EURO WEBSOFT,游戏,上海,A轮,数千万人民币,上海掌门科技
17,2015.7.5,https://www.itjuzi.com/investevents/15307,海投金融,金融,北京,Pre-A轮,1000万人民币,"IDG资本,华创资本,RRE Ventures,PreAngel,明势资本,InnoSpring"
18,2015.7.5,https://www.itjuzi.com/investevents/9514,百米生活,本地生活,广东,A轮,8000万美元,"顺丰速运,元禾控股"
19,2015.7.5,https://www.itjuzi.com/investevents/9515,订货宝-阿商科技,企业服务,四川,A轮,数千万人民币,易一天使
20,2015.7.5,https://www.itjuzi.com/investevents/9516,学姐帮,社交网络,四川,天使轮,数百万人民币,"洪泰基金,成都合一天使基金"
21,2015.7.5,https://www.itjuzi.com/investevents/9518,一号外卖,本地生活,广东,天使轮,3000万人民币,"薛蛮子,暴龙投资,约瑟投资"
22,2015.7.5,https://www.itjuzi.com/investevents/9675,Horizon Robotics地平线机器人,硬件,北京,天使轮,数百万美元,"晨兴资本,高瓴资本Hillhouse Capital,红杉资本中国,金沙江创投,线性资本LinearVenture,真格基金"
23,2015.7.5,https://www.itjuzi.com/investevents/10166,房司令,房产服务,江苏,A轮,1000万美元,"玖富,唯猎资本,众诚资本"
24,2015.7.5,https://www.itjuzi.com/investevents/10183,树音乐,文化娱乐,北京,A轮,数千万人民币,投资方未透露
25,2015.7.5,https://www.itjuzi.com/investevents/18211,哈图appMagics,工具软件,北京,Pre-A轮,数百万人民币,投资方未透露
26,2015.7.4,https://www.itjuzi.com/investevents/12323,八角星,文化娱乐,北京,Pre-A轮,800万人民币,投资方未透露
27,2015.7.4,https://www.itjuzi.com/investevents/14124,WeLearnShare英乐享,教育,广东,天使轮,数百万人民币,投资方未透露
28,2015.7.4,https://www.itjuzi.com/investevents/14130,微赛CTeemo,游戏,上海,天使轮,数百万人民币,投资方未透露
29,2015.7.4,https://www.itjuzi.com/investevents/14667,梦想人科技,企业服务,江苏,Pre-B轮,数千万人民币,好望角投资
30,2015.7.4,https://www.itjuzi.com/investevents/9513,乐校商城,电子商务,河北,天使轮,133万人民币,投资方未透露
31,2015.7.3,https://www.itjuzi.com/investevents/9493,同程旅游,旅游,江苏,E轮,60亿人民币,"万达集团,腾讯,中信资本"
32,2015.7.3,https://www.itjuzi.com/investevents/9497,欧工国际,房产服务,广东,A轮,数千万人民币,达晨创投
33,2015.7.3,https://www.itjuzi.com/investevents/9498,简单理财网,金融,天津,A轮,5000万人民币,天创资本
34,2015.7.3,https://www.itjuzi.com/investevents/9500,航运城,物流,上海,天使轮,数千万人民币,"真格基金,合力投资"
35,2015.7.3,https://www.itjuzi.com/investevents/9502,心有灵犀totwoo,电子商务,北京,天使轮,1000万人民币,"蝙蝠资本,疆域基金"
36,2015.7.3,https://www.itjuzi.com/investevents/9505,蚂蚁金服,金融,浙江,战略投资,120亿人民币,"国开金融(国开开元),中国人寿,春华资本Primavera"
37,2015.7.3,https://www.itjuzi.com/investevents/9506,宜保通,金融,广东,A轮,数千万人民币,DFJ德丰杰中国基金
38,2015.7.3,https://www.itjuzi.com/investevents/9633,Yochat,社交网络,北京,天使轮,数百万人民币,投资方未透露
39,2015.7.3,https://www.itjuzi.com/investevents/10090,GrowingIO,企业服务,北京,天使轮,220万美元,"NEA恩颐投资,经纬中国"
40,2015.7.3,https://www.itjuzi.com/investevents/10293,宅豆家居,房产服务,广东,A轮,数千万人民币,投资方未透露
41,2015.7.3,https://www.itjuzi.com/investevents/11429,于斯课堂,教育,上海,天使轮,数百万人民币,CA创投
42,2015.7.3,https://www.itjuzi.com/investevents/11460,森果senguo.cc,企业服务,湖北,天使轮,100万人民币,投资方未透露
43,2015.7.3,https://www.itjuzi.com/investevents/11491,美瓜APP,社交网络,北京,天使轮,数百万人民币,帮实资本
44,2015.7.3,https://www.itjuzi.com/investevents/11508,购给利,电子商务,浙江,天使轮,数百万人民币,暾澜投资
45,2015.7.3,https://www.itjuzi.com/investevents/11516,一地一味,电子商务,北京,A轮,数千万人民币,"湖畔山南资本,大道至简资本,九合创投,小马蜂创投"
46,2015.7.3,https://www.itjuzi.com/investevents/18880,暖心理,医疗健康,北京,天使轮,数百万人民币,鼎晟天平投资
47,2015.7.3,https://www.itjuzi.com/investevents/11669,小也商城,电子商务,浙江,A轮,数千万人民币,钟鼎创投
48,2015.7.3,https://www.itjuzi.com/investevents/12539,巴哥驾到,汽车交通,江苏,天使轮,数千万人民币,投资方未透露
49,2015.7.3,https://www.itjuzi.com/investevents/12615,图灵机器人Turing OS,企业服务,北京,B轮,5000万人民币,江南化工
50,2015.7.3,https://www.itjuzi.com/investevents/12638,Grow虹静阁,游戏,北京,天使轮,数百万人民币,博派资本
51,2015.7.3,https://www.itjuzi.com/investevents/12853,全城逛街,电子商务,上海,A轮,数千万人民币,投资方未透露
52,2015.7.3,https://www.itjuzi.com/investevents/12854,通宿交换,房产服务,重庆,天使轮,数百万人民币,投资方未透露
53,2015.7.3,https://www.itjuzi.com/investevents/13152,才云科技Caicloud,企业服务,浙江,天使轮,数百万美元,Cybernaut赛伯乐投资
54,2015.7.3,https://www.itjuzi.com/investevents/13965,兔啦啦,电子商务,北京,天使轮,100万人民币,水木清华校友基金
55,2015.7.3,https://www.itjuzi.com/investevents/14512,贵州泛亚信通网络,企业服务,贵州,A轮,3000万人民币,阿里巴巴
56,2015.7.3,https://www.itjuzi.com/investevents/14677,寓小二,房产服务,上海,天使轮,数百万人民币,投资方未透露
57,2015.7.3,https://www.itjuzi.com/investevents/14699,爱Home爱住家网络,房产服务,广东,种子轮,数百万人民币,投资方未透露
58,2015.7.3,https://www.itjuzi.com/investevents/15314,微企点,企业服务,北京,天使轮,数百万人民币,北龙中网
59,2015.7.2,https://www.itjuzi.com/investevents/12195,手艺网+手艺工场,教育,重庆,天使轮,数百万人民币,重庆商界传媒
