date,link,company,field,place,round,amount,investor
2016-09-10,https://www.itjuzi.com/investevents/20238,新浪微博,社交网络,北京,IPO上市后,1.35亿美元,阿里巴巴
2016-09-09,https://www.itjuzi.com/investevents/20237,直麦网,电子商务,江苏,天使轮,2000万人民币,投资方未透露
2016-09-09,https://www.itjuzi.com/investevents/20229,bkw studio,文化娱乐,北京,A轮,4000万人民币,合一资本
2016-09-09,https://www.itjuzi.com/investevents/20225,凹凸教育,教育,北京,战略投资,数千万人民币,凯兴资本
2016-09-09,https://www.itjuzi.com/investevents/20222,古德菲力,体育运动,广东,A轮,数千万人民币,中美创投
2016-09-09,https://www.itjuzi.com/investevents/20221,悟空电竞,游戏,四川,天使轮,1000万人民币,北京泽一投资
2016-09-09,https://www.itjuzi.com/investevents/20220,微视酷科技,教育,北京,Pre-A轮,数千万人民币,华融天泽
2016-09-09,https://www.itjuzi.com/investevents/20218,方糖小镇,房产服务,上海,A轮,2亿人民币,"鼎晖投资,歌斐资产,华住酒店集团"
2016-09-09,https://www.itjuzi.com/investevents/20217,便宜车,汽车交通,北京,Pre-A轮,数千万人民币,投资方未透露
2016-09-09,https://www.itjuzi.com/investevents/20215,企鹅吃喝指南,本地生活,上海,A轮,300万美元,"贝塔斯曼亚洲投资基金,中国平安(平安创新投)"
2016-09-09,https://www.itjuzi.com/investevents/20214,滴滴出行,汽车交通,北京,战略投资,2亿美元,富士康
2016-09-09,https://www.itjuzi.com/investevents/20212,巨人网络,游戏,上海,战略投资,1亿人民币,阿里体育
2016-09-09,https://www.itjuzi.com/investevents/20209,序康医疗,医疗健康,上海,B轮,1.4亿人民币,"新产业创投,海利生物,方通和资本"
2016-09-09,https://www.itjuzi.com/investevents/20205,网酒网,电子商务,北京,新三板,未透露,投资方未透露
2016-09-09,https://www.itjuzi.com/investevents/20151,康康血压,医疗健康,北京,A+轮,3000万人民币,岭健康城
2016-09-08,https://www.itjuzi.com/investevents/20199,中科慧眼,汽车交通,北京,A轮,数千万人民币,联想创投集团(乐基金)
